Time [s], x [m], y [m], theta [rad], v_rear [m/s], w_rear [rad/s], v_front [m/s], delta [rad]
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
1.0, 9.83563e-16, 0.0489864, 1.5708, 0.146959, 0.0, 0.146959, 0.0
2.0, 7.20609e-15, 0.358899, 1.5708, 0.445573, 0.0, 0.445573, 0.0
3.0, 1.70236e-14, 0.847859, 1.5708, 0.5, 0.0, 0.5, 0.0
4.0, 2.70627e-14, 1.34786, 1.5708, 0.5, 0.0, 0.5, 0.0
5.0, 3.71019e-14, 1.84786, 1.5708, 0.5, 0.0, 0.5, 0.0
6.0, 4.7141e-14, 2.34786, 1.5708, 0.5, 0.0, 0.5, 0.0
7.0, 5.71802e-14, 2.84786, 1.5708, 0.5, 0.0, 0.5, 0.0
8.0, 6.72193e-14, 3.34786, 1.5708, 0.5, 0.0, 0.5, 0.0
9.0, 7.68577e-14, 3.8279, 1.5708, 0.419234, 0.0, 0.419234, 0.0
10.0, 8.2742e-14, 4.12097, 1.5708, 0.193093, 0.0, 0.193093, 0.0
11.0, -0.00291959, 4.36026, 1.62136, 0.1732574265795175, 0.101125, 0.20061007325146188, 0.5283249051595609
12.0, -0.0232928, 4.53215, 1.77305, 0.17325750744195761, 0.202251, 0.266314909244676, 0.8624565562357734
13.0, -0.0776847, 4.69616, 2.02586, 0.17325787025705353, 0.303376, 0.34936411805165396, 1.0518983459128983
14.0, -0.177441, 4.84023, 2.37945, 0.17325759385666187, 0.392612, 0.4291414409877004, 1.1552052702577214
15.0, -0.326252, 4.93526, 2.7215, 0.17325761173108672, 0.291486, 0.33909038355394266, 1.0345088734249879
16.0, -0.494744, 4.98287, 2.96242, 0.17325751025248515, 0.190361, 0.25740138923457656, 0.8324004262852571
17.0, -0.668167, 4.99752, 3.10222, 0.1732572699008157, 0.0892356, 0.19488733637885272, 0.47561245035440347
18.0, -0.841594, 4.99661, 3.14089, 0.17325704232282219, -0.0118897, 0.17366452625836457, -0.06851720536405734
19.0, -1.0352, 5.0, 3.14159, 0.320217, 0.0, 0.320217, 0.0
20.0, -1.46851, 5.0, 3.14159, 0.498263, 0.0, 0.498263, 0.0
21.0, -1.96845, 5.0, 3.14159, 0.5, 0.0, 0.5, 0.0
22.0, -2.46845, 5.0, 3.14159, 0.5, 0.0, 0.5, 0.0
23.0, -2.96845, 5.0, 3.14159, 0.5, 0.0, 0.5, 0.0
24.0, -3.46845, 5.0, 3.14159, 0.5, 0.0, 0.5, 0.0
25.0, -3.92199, 5.0, 3.14159, 0.358134, 0.0, 0.358134, 0.0
26.0, -4.16508, 5.0, 3.14159, 0.175598, 0.0, 0.175598, 0.0
27.0, -4.36026, 4.99708, 3.19216, 0.1732574265795175, 0.101125, 0.20061007325146188, 0.5283249051595609
28.0, -4.53215, 4.97671, 3.34384, 0.17325750744195761, 0.202251, 0.266314909244676, 0.8624565562357734
29.0, -4.69616, 4.92232, 3.59666, 0.17325787025705353, 0.303376, 0.34936411805165396, 1.0518983459128983
30.0, -4.84023, 4.82256, 3.95025, 0.17325759385666187, 0.392612, 0.4291414409877004, 1.1552052702577214
31.0, -4.93526, 4.67375, 4.2923, 0.17325761173108672, 0.291486, 0.33909038355394266, 1.0345088734249879
32.0, -4.98287, 4.50526, 4.53322, 0.17325751025248515, 0.190361, 0.25740138923457656, 0.8324004262852571
33.0, -4.99752, 4.33183, 4.67302, 0.1732572699008157, 0.0892356, 0.19488733637885272, 0.47561245035440347
34.0, -4.99661, 4.15841, 4.71169, 0.17325704232282219, -0.0118897, 0.17366452625836457, -0.06851720536405734
35.0, -5.0, 3.9648, -1.5708, 0.320217, 0.0, 0.320217, 0.0
36.0, -5.0, 3.53149, -1.5708, 0.498263, 0.0, 0.498263, 0.0
37.0, -5.0, 3.03155, -1.5708, 0.5, 0.0, 0.5, 0.0
38.0, -5.0, 2.53155, -1.5708, 0.5, 0.0, 0.5, 0.0
39.0, -5.0, 2.03155, -1.5708, 0.5, 0.0, 0.5, 0.0
40.0, -5.0, 1.53155, -1.5708, 0.5, 0.0, 0.5, 0.0
41.0, -5.0, 1.03155, -1.5708, 0.5, 0.0, 0.5, 0.0
42.0, -5.0, 0.532239, -1.5708, 0.491452, 0.0, 0.491452, 0.0
43.0, -5.0, 0.125217, -1.5708, 0.273605, 0.0, 0.273605, 0.0
44.0, -5.0, 0.00242908, -1.5708, 0.0198354, 0.0, 0.0198354, 0.0
